iter	Passed	Remaining
663	1336	676
664	1338	674
665	1340	672
666	1342	670
667	1343	667
668	1346	666
669	1349	664
670	1351	662
671	1353	660
672	1355	658
673	1356	656
674	1358	654
675	1361	652
676	1363	650
677	1365	648
678	1368	647
679	1371	645
680	1374	643
681	1376	641
682	1379	640
683	1380	637
684	1389	638
685	1391	636
686	1394	635
687	1396	633
688	1398	631
689	1400	629
690	1403	627
691	1405	625
692	1408	623
693	1410	621
694	1411	619
695	1413	617
696	1415	615
697	1417	613
698	1418	610
699	1422	609
700	1424	607
701	1428	606
702	1431	604
703	1433	602
704	1435	600
705	1438	598
706	1440	596
707	1443	595
708	1447	593
709	1448	591
710	1450	589
711	1453	587
712	1455	585
713	1456	583
714	1458	581
715	1460	579
716	1463	577
717	1465	575
718	1467	573
719	1469	571
720	1471	569
721	1473	567
722	1474	565
723	1476	562
724	1479	561
725	1481	559
726	1483	556
727	1484	554
728	1486	552
729	1488	550
730	1489	548
731	1491	546
732	1493	543
733	1494	541
734	1496	539
735	1498	537
736	1501	535
737	1502	533
738	1504	531
739	1506	529
740	1507	526
741	1509	524
742	1510	522
743	1512	520
744	1516	518
745	1519	517
746	1521	515
747	1523	513
748	1525	511
749	1527	509
750	1528	506
751	1530	504
752	1531	502
753	1533	500
754	1536	498
755	1538	496
756	1539	494
757	1541	492
758	1542	489
759	1544	487
760	1545	485
761	1547	483
762	1548	481
763	1550	478
764	1551	476
765	1553	474
766	1556	472
767	1558	470
768	1560	468
769	1561	466
770	1563	464
771	1564	462
772	1566	459
773	1567	457
774	1568	455
775	1570	453
776	1572	451
777	1575	449
778	1577	447
779	1578	445
780	1580	443
781	1581	440
782	1583	438
783	1584	436
784	1586	434
785	1587	432
786	1589	430
787	1591	428
788	1593	426
789	1595	424
790	1596	421
791	1598	419
792	1599	417
793	1601	415
794	1602	413
795	1603	411
796	1605	408
797	1606	406
798	1608	404
799	1609	402
800	1612	400
801	1613	398
802	1615	396
803	1616	394
804	1618	391
805	1619	389
806	1620	387
807	1622	385
808	1623	383
809	1624	381
810	1625	378
811	1628	377
812	1631	375
813	1633	373
814	1635	371
815	1636	369
816	1638	366
817	1639	364
818	1641	362
819	1642	360
820	1643	358
821	1645	356
822	1647	354
823	1650	352
824	1651	350
825	1653	348
826	1654	346
827	1656	344
828	1657	341
829	1659	339
830	1660	337
831	1661	335
832	1663	333
833	1665	331
834	1668	329
835	1669	327
836	1671	325
837	1673	323
838	1674	321
839	1676	319
840	1677	317
841	1679	315
842	1680	313
843	1682	310
844	1684	309
845	1688	307
846	1689	305
847	1691	303
848	1692	301
849	1694	298
850	1695	296
851	1697	294
852	1698	292
853	1700	290
854	1702	288
855	1705	286
856	1707	284
857	1709	282
858	1710	280
859	1712	278
860	1713	276
861	1715	274
862	1717	272
863	1718	270
864	1720	268
865	1722	266
866	1724	264
867	1726	262
868	1727	260
869	1729	258
870	1730	256
871	1732	254
872	1733	252
873	1735	250
874	1736	248
875	1737	246
876	1740	244
877	1744	242
878	1746	240
879	1748	238
880	1749	236
881	1751	234
882	1752	232
883	1754	230
884	1755	228
885	1757	226
886	1759	224
887	1762	222
888	1764	220
889	1765	218
890	1767	216
891	1768	214
892	1770	212
893	1771	210
894	1773	208
895	1774	205
896	1775	203
897	1777	201
898	1779	199
899	1781	197
900	1783	195
901	1784	193
902	1786	191
903	1787	189
904	1789	187
905	1790	185
906	1792	183
907	1793	181
908	1795	179
909	1797	177
910	1799	175
911	1801	173
912	1803	171
913	1804	169
914	1805	167
915	1807	165
916	1808	163
917	1810	161
918	1811	159
919	1814	157
920	1816	155
921	1819	153
922	1820	151
923	1822	149
924	1823	147
925	1825	145
926	1826	143
927	1828	141
928	1830	139
929	1831	137
930	1833	135
931	1836	133
932	1838	132
933	1839	130
934	1841	128
935	1842	126
936	1844	124
937	1846	122
938	1847	120
939	1848	118
940	1850	116
941	1852	114
942	1855	112
943	1856	110
944	1858	108
945	1859	106
946	1861	104
947	1862	102
948	1864	100
949	1865	98
950	1867	96
951	1868	94
952	1871	92
953	1873	90
954	1876	88
955	1877	86
956	1879	84
957	1880	82
958	1882	80
959	1883	78
960	1885	76
961	1886	74
962	1887	72
963	1889	70
964	1893	68
965	1894	66
966	1896	64
967	1897	62
968	1899	60
969	1900	58
970	1902	56
971	1903	54
972	1905	52
973	1906	50
974	1908	48
975	1910	46
976	1913	45
977	1914	43
978	1916	41
979	1917	39
980	1919	37
981	1920	35
982	1922	33
983	1925	31
984	1927	29
985	1930	27
986	1932	25
987	1934	23
988	1935	21
989	1937	19
990	1938	17
991	1940	15
992	1941	13
993	1943	11
994	1945	9
995	1947	7
996	1949	5
997	1951	3
998	1952	1
999	1954	0
